"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"8729932188","1","LOCAL GOV SECTOR INVESTMENT PLAN (BSP)","2006-11-23","start-actual","2009-06-30","end-planned","Austria","AUT","Uganda","UGA","510","General budget support","Completion","2006","2009","5000000.0","1776024.813"
"87299451531","0","DISTRICT COMMERCIAL SERVICES SUPPORT","2002-01-02","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","331","Trade policy and regulations","Completion","2002","2002","0.0","0.0"
"8729922727","0","ELECTRIFICATION OF INDUSTRIAL PARKS","2011-11-18","start-actual","2014-04-30","end-planned","China","CHN","Uganda","UGA","151","Government and civil society, general","Implementation","2011","2014","101576713.159","49887663.463"
"8729931393","1","PUBLIC GOV. & ACCT. PROGRAM (LOGSIP)","2006-11-23","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","151","Government and civil society, general","Implementation","2006","2010","17065516.502","579615.672"
"872992175","1","RECONSTRUCTION OF TORORO-SOROTI ROAD","2010-05-04","start-actual","2014-06-30","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Implementation","2010","2014","256748466.257","31833848.714"
"87299221292","0","REHABILITATION OF AQUACULTURE IN UGANDA","1998-01-02","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","311","Agriculture","Completion","1998","2007","9404909.639","7866732.24"
"87299311589","0","SUPPORT TO RURAL WATER SECTOR","1996-05-28","start-actual","","end-planned","Denmark/DANIDA|Sweden","DNK|SWE","Uganda","UGA","160","Other social infrastructure and services","Completion","1996","2002","88476922.334","3688597.156"
"87299251263","0","SUPPORT TO KITGUM/GULU FM RADIO STATIONS","2001-06-08","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","151","Government and civil society, general","Implementation","2001","2001","957877.84","2719.247"
"8729922183","0","MULTI-COUNTRY DEMOBILIZATION PROJECT","2008-08-15","start-actual","2010-06-30","end-planned","International Development Association","DAC","Uganda","UGA","151","Government and civil society, general","Completion","2008","2011","4350000.0","2849238.0"
"8729922639","0","UGANDA SEED INDUSTRY RATIONALIZATION","1993-02-23","start-actual","2000-12-31","end-planned","African Development Fund|European Union","DAC|DAC","Uganda","UGA","311","Agriculture","Completion","1983","2000","19120214.633","21574616.81"
"87299221618","0","W.H.O SUPPORT TO COCTU","","start-actual","","end-planned","Food and Agriculture Organization","DAC","Uganda","UGA","311","Agriculture","Completion","1994","1995","305000.0","78602.0"
