"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"eAr3SzJxsgpovdkkGUaE8c","872992175","","2010","C","USD","184049079.754"
"QUYtRwkFRgm8Qmsg7MNJPm","872992175","","2012","C","USD","72699386.503"
"N67iZmTviG9jCi59Cr7Tkg","872992175","","2011","D","USD","10181391.987"
"hRYpZaQMvm8BchtajVTe79","872992175","","2012","D","USD","21652456.727"
"eDffyZ3NGf5TsmhkPY58w3","872992181","","2007","C","USD","60971375.955"
"Ek5NuKbyCXhoG5XWcss2yM","872992181","","2007","D","USD","904555.052"
"kUc5dhZXsU5gwtuH3WCoM6","872992181","","2008","D","USD","2111054.258"
"e5qqTWMRsfTc9kur2p8AsM","872992181","","2009","D","USD","12684935.601"
"2j9Uo72ajcNBEuK9hZaJqc","872992181","","2010","D","USD","15468056.235"
"UJDrCxuhct2tr54VPhNAS7","872992181","","2011","D","USD","13898096.762"
"biaMRLUmHzV9wNhwvmqiM9","872992181","","2012","D","USD","7637576.428"
"tB84XAew4P9gBbSHq2H3wQ","872992181","","2013","D","USD","2021485.757"
"CbzFXEV9ZiwiDGb42pYsan","872992184","","2013","C","USD","66765468.692"
"oYhTNsBKWEfe2m4SfYQJNP","872992184","","2013","D","USD","13748865.987"
"2qtqQxctembALsMcZGA5Pc","872992333","","1993","C","USD","1500000.0"
"5JoqiDJZiR8uSebjyq8NEF","872992333","","1994","D","USD","183289.0"
"TCWC6SHdmsDtuxPo3rxvvF","872992333","","1995","D","USD","400345.0"
"WXjZCXTBijhhovBx6C2yxj","872992333","","1996","D","USD","132291.0"
"R2ZCY2TExQr93QWsp8KhU6","872992333","","1997","D","USD","368155.0"
"eSsQt2fnpFxHuPnLUXcprH","872992333","","2010","D","USD","379031.0"
"ag3knuwhdUV5CPqbb32hni","872992333","","2011","D","USD","198939.0"
"kduYGDx254TjFqXMMikHTC","872992333","","2012","D","USD","25846.0"
"XatmTSTmy6FhkZsJWXzQjF","872992339","","2010","C","USD","1108374.384"
"VqbLUTpAuyHZLpEz7z2uyZ","872992339","","2011","D","USD","409276.944"
"AmRoq5WN7CXYmFw7YuATgg","872992456","","2010","C","USD","10153846.153"
"c7AQ2VuwmzkZLPMEB9uFSE","872992456","","2011","D","USD","745161.341"
"FryKg7dMo7CUBQXFJVZEhf","872992456","","2012","D","USD","775580.495"
"brktsbiHVhrm2vLk72ZJMV","872992456","","2013","D","USD","1886284.857"
"ASaXnvPsgGHkYHmLHWZkH7","872992466","","2010","C","USD","28831562.974"
"3j5iZXX6ThUCSqwhWo7cgN","872992466","","2011","D","USD","8331488.335"
"cTPGn2rPvy3jPeoZgkMP7V","872992466","","2013","D","USD","5120400.299"
"NZKxz7iNie3VMDMNzp4PJB","872992472","","1997","C","USD","122659430.122"
"HuafG7szJjUyQ5b45hjrv8","872992472","","1997","D","USD","44419164.591"
"wrCwPUEJpCzGT6a4CEozaJ","872992472","","2000","D","USD","38778523.489"
"c5xjuSxZuM8AYV83eCReqN","872992472","","2001","D","USD","35888324.873"
"nPPrWbbGtGquGdndH7mwwL","872992479","","2010","C","USD","500000.0"
"riTFGcvjLZg3fpT7UYcr8e","872992479","","2010","D","USD","100000.0"
"b5Kb7VeVoXcrT6jnJwMfmB","872992479","","2011","D","USD","12860.0"
"fvNDAEteNq3FQZ7LTmEXRE","872992479","","2012","D","USD","267000.0"
"eBeKauXs5TZQiAKrZwoSYd","872992488","","2009","C","USD","2310421.651"
"uEUiYSPkRAJSEzJL4Mj7NS","872992488","","2010","D","USD","1360793.533"
"TN9XCDJkxdiVrgZ42QcMNo","872992495","","2002","C","USD","1997336.884"
"SCmMwawhunAtAMKXqYyJ5m","872992495","","2002","D","USD","1981505.944"
"7skQYZ4jy2Z5kdgfJuvJwV","872992498","","2002","C","USD","158784676.354"
"b5WiCQ2mgEdgvMGbtzJQga","872992498","","2003","D","USD","167702669.308"
"8ZmGmR9PLg5icZ46Vj7QSQ","872992546","","2010","C","USD","16155088.852"
"ivV4JKkziJxnkUGYAEEn8G","872992546","","2011","D","USD","1235204.8"
"vndNjnPANkTeR33sbhHG9Z","872992554","","2009","C","USD","154205607.476"
"8C8nZx3DCQsEATacWETtUn","872992554","","2010","D","USD","45363139.999"
"DsHfxrWaP9dqTUfmRqi9HW","872992554","","2012","D","USD","41115642.65"
"sCSh6KyBgtDXt6eWnZPJP","872992554","","2013","D","USD","18319445.277"
"XBbSiQhEwspU9bJ8be38wT","872992564","","2001","C","USD","216730038.022"
"tn9bfKcbk7myXUoZZ6T46f","872992564","","2008","C","USD","14263803.68"
"JrTSxhL6hw3JQyctj4eFp4","872992564","","2007","D","USD","2554169.527"
"5VXVoNqDnofMAMc8MVVwTB","872992564","","2008","D","USD","968917.155"
"U89tcqa6tK7gqq6mXs4bsW","872992564","","2009","D","USD","1680546.798"
"ixCnvDJRCNH4CGV67rGVU","872992564","","2010","D","USD","1131019.3"
