"","NAME_0","NAME_1","NAME_2","NAME_3_unique","project_id","project_location_id","precision_code","geoname_id","place_name","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements","NAME_3","NAME_0.id","NAME_1.id","NAME_2.id","NAME_3.id"
"1","Uganda","Adjumani","East Moyo","Ciforo East Moyo",87299462157,"87299462157_8140888",1,8140888,"Ciforo","PPL","populated place","6295630|6255146|UG|N|443782|8140888","Earth|Africa|Uganda|Northern Region|Adjumani District|Ciforo",1,2,1,"DEVELOPMENT ASSISTANCE TO REFUGEE HOSTING AREAS, PHASE 2 (DAR2)","","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","160","Other social infrastructure and services","Implementation",2012,2012,0,791431.435,0,29312.2753704,"Ciforo",1,1,56,241
"2","Uganda","Adjumani","East Moyo","Dzaipi East Moyo",87299462157,"87299462157_225834",1,225834,"Dzaipi","PPL","populated place","6295630|6255146|UG|N|443782|225834","Earth|Africa|Uganda|Northern Region|Adjumani District|Dzaipi",1,2,1,"DEVELOPMENT ASSISTANCE TO REFUGEE HOSTING AREAS, PHASE 2 (DAR2)","","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","160","Other social infrastructure and services","Implementation",2012,2012,0,791431.435,0,29312.2753704,"Dzaipi",1,1,56,251
"3","Uganda","Adjumani","East Moyo","Ofua East Moyo",8729922193,"8729922193_443782",3,443782,"Adjumani District","ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1,1,"NORTHERN UGANDA SOCIAL ACTION FUND (NUSAF)","2012-02-09","start-actual","2014-08-31","end-planned","International Development Association","DAC","Uganda","UGA","151","Government and civil society, general","Implementation",2009,2014,139410967.476,87588840.519,3767863.98584,2367265.95997,"Ofua",1,1,56,819
"4","Uganda","Adjumani","East Moyo","Ofua East Moyo",8729922263,"8729922263_443782",3,443782,"Adjumani District","ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1,1,"SUPPORT TO POLICE - PRDP","2007-11-28","start-actual","2009-06-30","end-planned","Netherlands","NLD","Uganda","UGA","510","General budget support","Completion",2007,2009,4405286.343,0,115928.587974,0,"Ofua",1,1,56,819
"5","Uganda","Adjumani","East Moyo","Ofua East Moyo",87299462157,"87299462157_8142162",1,8142162,"Ofua","PPL","populated place","6295630|6255146|UG|N|443782|8142162","Earth|Africa|Uganda|Northern Region|Adjumani District|Ofua",1,2,1,"DEVELOPMENT ASSISTANCE TO REFUGEE HOSTING AREAS, PHASE 2 (DAR2)","","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","160","Other social infrastructure and services","Implementation",2012,2012,0,791431.435,0,29312.2753704,"Ofua",1,1,56,819
"6","Uganda","Adjumani","East Moyo","Ofua East Moyo",87299462865,"87299462865_443782",3,443782,"Adjumani District","ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1,1,"OPM- UGANDA INVESTMENT AUTHORITY (PRDP)","2010-07-29","start-actual","2014-03-31","end-planned","United Kingdom","GBR","Uganda","UGA","151","Government and civil society, general","Implementation",2010,2014,0,777604.976,0,20463.2888421,"Ofua",1,1,56,819
"7","Uganda","Adjumani","East Moyo","Ofua East Moyo",8729925127,"8729925127_443782",3,443782,"Adjumani District","ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1,1,"PRDP","2008-12-03","start-actual","2009-06-30","end-planned","Norway","NOR","Uganda","UGA","311|110","Agriculture|Education","Completion",2008,2010,4698996.89,10315279.203,123657.812895,271454.715868,"Ofua",1,1,56,819
"8","Uganda","Adjumani","East Moyo","Ofua East Moyo",87299462866,"87299462866_443782",3,443782,"Adjumani District","ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1,1,"OPM- NORTHERN UGANDA YOUTH DEVELOPMENT CENTRE (PRDP)","2010-07-29","start-actual","2014-03-31","end-planned","United Kingdom","GBR","Uganda","UGA","151","Government and civil society, general","Implementation",2010,2014,0,0,0,0,"Ofua",1,1,56,819
"9","Uganda","Adjumani","East Moyo","Ofua East Moyo",87299463027,"87299463027_443782",3,443782,"Adjumani District","ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1,1,"SUPPORT TO LOCAL GOV ASSOCIATION- CAPACITY BUILDING-NORTHERN UGANDA (PRDP)","2008-12-03","start-actual","2014-09-30","end-planned","United Kingdom","GBR","Uganda","UGA","151","Government and civil society, general","Implementation",2008,2014,0,155520.995,0,4092.65776316,"Ofua",1,1,56,819
"10","Uganda","Adjumani","East Moyo","Ofua East Moyo",87299462157,"87299462157_443782",3,443782,"Adjumani District","ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1,1,"DEVELOPMENT ASSISTANCE TO REFUGEE HOSTING AREAS, PHASE 2 (DAR2)","","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","160","Other social infrastructure and services","Implementation",2012,2012,0,791431.435,0,29312.2753704,"Ofua",1,1,56,819
